ma_hoc_sinh,so_thich,ky_nang
SV0027,"làm portfolio online, nấu ăn healthy, xem vlog du học ngành IT, sưu tầm đồ công nghệ, âm nhạc","quản lý dự án sáng tạo, thiết kế UI/UX cho website, xử lý dữ liệu với Pandas, kiến trúc đô thị thông minh, quản lý mật khẩu an toàn"
SV0028,"tìm hiểu Blockchain, đạp xe buổi chiều, viết truyện ngắn, tập vẽ tay, xem phim sci-fi","lập trình Python, quản trị nông nghiệp và bền vững, phân tích dữ liệu định lượng, phát hiện lỗ hổng OWASP, quản trị nhân lực hiện đại"
SV0029,"quay Tiktok chia sẻ kiến thức, vẽ digital art, follow các dev trên YouTube, chơi game mô phỏng (SimCity, Factorio...), chia sẻ kiến thức trên LinkedIn","quản lý logistics và chuỗi cung ứng, viết truy vấn SQL, lập trình Java, kiến trúc đô thị thông minh, kiểm toán nội bộ và bên ngoài"
SV0030,"chơi game, quay Tiktok chia sẻ kiến thức, viết content cho mạng xã hội, vẽ giao diện app, lập kế hoạch học tập","kiểm toán nội bộ và bên ngoài, quản lý dự án sáng tạo, viết truy vấn SQL, hiểu mô hình ERP, trình bày báo cáo"
SV0031,"chơi nhạc cụ, chạy bộ Strava, sưu tầm đồ công nghệ, học kỹ năng nói trước đám đông, xem video phân tích dữ liệu","quản trị nông nghiệp và bền vững, lập kế hoạch thuế và khai thuế, kế toán tài chính doanh nghiệp, quản lý logistics và chuỗi cung ứng, quản lý đổi mới sáng tạo trong doanh nghiệp"
SV0032,"xem vlog du học ngành IT, tìm hiểu AI, viết nhật ký phát triển bản thân, nghe lo-fi khi code, thể thao","phát hiện lỗ hổng OWASP, vận hành hệ thống thương mại điện tử, phân tích dữ liệu định lượng, quản lý dự án sáng tạo, xây dựng mô hình ML cơ bản"
SV0033,"làm đồ handmade, làm video dạng slide ngắn, tự học SQL, lập kế hoạch học tập, thử dựng infographic","quản trị hệ thống Linux, viết truy vấn SQL, xây dựng mô hình ML cơ bản, quản lý gian hàng online, quản lý đơn hàng"
SV0034,"đọc sách, xem phim, thiền và yoga, luyện kỹ năng phản biện, chạy bộ Strava","giao tiếp hiệu quả, quản lý thời gian, tích hợp tài chính công nghệ (FinTech), quản trị hệ thống Linux, ứng dụng trí tuệ nhân tạo trong kinh doanh"
SV0035,"làm video dạng slide ngắn, thử dựng infographic, viết blog cá nhân, thiết kế CV cá nhân đẹp, nghe nhạc indie","tạo dashboard KPI, quản trị nông nghiệp và bền vững, làm việc nhóm, kế toán tài chính doanh nghiệp, định giá tài sản"
SV0036,"thử các quán cà phê mới, chia sẻ kiến thức trên LinkedIn, nấu ăn, viết content cho mạng xã hội, làm đồ handmade","phân tích hành vi du lịch và giải trí, lập trình Python, kế toán tài chính doanh nghiệp, ứng dụng trí tuệ nhân tạo trong kinh doanh, giao dịch chứng khoán"
SV0037,"chạy thử chatbot, vọc Python, học nhảy trên YouTube, đọc sách self-help, nghe podcast UX/UI","viết báo cáo, trình bày báo cáo, chạy quảng cáo cơ bản, ứng dụng trí tuệ nhân tạo trong kinh doanh, mã hóa dữ liệu cơ bản"
SV0038,"chụp ảnh sản phẩm, vẽ tranh, nấu ăn, chơi game mô phỏng (SimCity, Factorio...), viết truyện ngắn","kế toán tài chính doanh nghiệp, thực hành CTF cơ bản, phân tích log hệ thống, quản lý quỹ đầu tư, xây dựng mô hình ML cơ bản"
SV0039,"chơi Rubik, thử các quán cà phê mới, chia sẻ kiến thức trên LinkedIn, viết blog cá nhân, làm portfolio online","triển khai ứng dụng web, xây dựng mô hình ML cơ bản, quản lý gian hàng online, quản lý đổi mới sáng tạo trong doanh nghiệp, kiểm thử bảo mật"
SV0040,"sưu tầm đồ công nghệ, follow fashion tech trends, viết blog cá nhân, xem livestream hackathon, viết truyện ngắn","chạy quảng cáo cơ bản, viết nội dung marketing, phân tích rủi ro tài chính, quản lý gian hàng online, tư duy phản biện"
SV0041,"học kỹ năng nói trước đám đông, viết báo cáo kỹ thuật, chia sẻ kiến thức trên LinkedIn, viết nhật ký phát triển bản thân, làm đồ handmade","xây dựng mô hình học máy nâng cao, phân tích dữ liệu định lượng, ứng dụng hệ thống CRM, hiểu mô hình ERP, kế toán tài chính doanh nghiệp"
SV0042,"chơi game giải đố, viết content cho mạng xã hội, nấu ăn healthy, quay Tiktok chia sẻ kiến thức, xem video phân tích dữ liệu","hiểu cấu trúc dữ liệu & giải thuật, xây dựng hệ thống hỗ trợ ra quyết định, tích hợp tài chính công nghệ (FinTech), phân tích hành vi du lịch và giải trí, phát hiện lỗ hổng OWASP"
SV0043,"tham gia workshop chuyên ngành, làm đồ handmade, thiết kế poster, quay Tiktok chia sẻ kiến thức, làm portfolio online","xây dựng hệ thống hỗ trợ ra quyết định, giao dịch chứng khoán, chạy quảng cáo cơ bản, quản trị nhân lực hiện đại, xây dựng mô hình ML cơ bản"
SV0044,"tìm hiểu AI, xem phim sci-fi, nấu ăn, nghe podcast UX/UI, tham gia workshop chuyên ngành","thiết kế trải nghiệm sự kiện, xây dựng mô hình học máy nâng cao, quản lý đơn hàng, quản trị hệ thống Linux, lập trình Java"
SV0045,"đọc sách self-help, chơi game, viết content cho mạng xã hội, viết blog công nghệ, chạy bộ Strava","triển khai ứng dụng web, vẽ quy trình BPMN, quản lý đơn hàng, hiểu mô hình ERP, xây dựng hệ thống hỗ trợ ra quyết định"
SV0046,"tập vẽ tay, theo dõi các trang TechCrunch, Hacker News, tham gia workshop chuyên ngành, học kỹ năng nói trước đám đông, nghe podcast UX/UI","vẽ quy trình BPMN, kiểm thử bảo mật, quản lý logistics và chuỗi cung ứng, quản lý mật khẩu an toàn, triển khai ứng dụng web"
SV0047,"chạy thử chatbot, tập vẽ tay, chụp ảnh sản phẩm, tập gym, viết báo cáo kỹ thuật","phân tích rủi ro tài chính, vẽ quy trình BPMN, thực hành CTF cơ bản, quản lý logistics và chuỗi cung ứng, viết nội dung marketing"
SV0048,"viết nhật ký phát triển bản thân, xem phim, đạp xe buổi chiều, du lịch, xem phim sci-fi","phân tích luật kinh tế và kinh doanh quốc tế, phân tích hành vi du lịch và giải trí, hiểu cấu trúc dữ liệu & giải thuật, quản lý quỹ đầu tư, phân tích nghiệp vụ"
SV0049,"viết blog công nghệ, follow các dev trên YouTube, cắm trại, tự học SQL, follow fashion tech trends","quản lý đổi mới sáng tạo trong doanh nghiệp, quản lý logistics và chuỗi cung ứng, xử lý dữ liệu với Pandas, tích hợp tài chính công nghệ (FinTech), xây dựng mô hình học máy nâng cao"
SV0050,"chơi game, đọc sách, xem video TEDx, tìm hiểu Blockchain, chạy thử chatbot","phân tích log hệ thống, triển khai ứng dụng web, ứng dụng trí tuệ nhân tạo trong kinh doanh, xây dựng mô hình học máy nâng cao, kiểm thử bảo mật"
SV0051,"vẽ tranh, nấu ăn, thử các quán cà phê mới, âm nhạc, nghe nhạc indie","xây dựng mô hình học máy nâng cao, trình bày báo cáo, kế toán tài chính doanh nghiệp, lập trình Python, làm việc với Git"
SV0052,"xem livestream hackathon, làm video dạng slide ngắn, sưu tầm đồ công nghệ, làm portfolio online, làm đồ handmade","thực hành CTF cơ bản, quản lý thời gian, phát hiện lỗ hổng OWASP, hiểu cấu trúc dữ liệu & giải thuật, quản lý mật khẩu an toàn"
SV0053,"trồng cây mini trong phòng, vẽ digital art, vẽ giao diện app, thiết kế CV cá nhân đẹp, nghe podcast UX/UI","vẽ quy trình BPMN, thực hành CTF cơ bản, phân tích dữ liệu cho kinh doanh, làm việc nhóm, viết báo cáo"
SV0054,"sưu tầm đồ công nghệ, xem phim, vẽ giao diện app, tham gia workshop chuyên ngành, viết blog công nghệ","quản lý đổi mới sáng tạo trong doanh nghiệp, phân tích dữ liệu cho kinh doanh, tự động hóa quy trình bằng điều khiển thông minh, mã hóa dữ liệu cơ bản, xử lý dữ liệu với Pandas"
SV0055,"xem video TEDx, xem vlog du học ngành IT, luyện kỹ năng phản biện, xem livestream hackathon, viết blog công nghệ","quản trị nhân lực hiện đại, phân tích luật kinh tế và kinh doanh quốc tế, quản lý logistics và chuỗi cung ứng, ứng dụng trí tuệ nhân tạo trong kinh doanh, quản trị nông nghiệp và bền vững"
SV0056,"chạy thử chatbot, thể thao, tập gym, lập kế hoạch học tập, tự học SQL","xây dựng mô hình học máy nâng cao, kiểm toán nội bộ và bên ngoài, phân tích log hệ thống, phát hiện lỗ hổng OWASP, quản lý đơn hàng"
SV0057,"chơi game giải đố, chia sẻ kiến thức trên LinkedIn, follow fashion tech trends, xây web cá nhân, cắm trại","phát hiện lỗ hổng OWASP, phân tích dữ liệu cho kinh doanh, phân tích hành vi du lịch và giải trí, làm việc nhóm, lập trình Java"
SV0058,"tập vẽ tay, đọc sách, học ngoại ngữ mới, làm portfolio online, viết truyện ngắn","hiểu mô hình ERP, xây dựng hệ thống hỗ trợ ra quyết định, phân tích rủi ro tài chính, thực hành CTF cơ bản, phân tích hành vi người dùng"
SV0059,"viết báo cáo kỹ thuật, du lịch, tập gym, thử các quán cà phê mới, follow fashion tech trends","triển khai ứng dụng web, chạy quảng cáo cơ bản, kiến trúc đô thị thông minh, kế toán tài chính doanh nghiệp, làm việc với Git"
SV0060,"xem phim sci-fi, chia sẻ kiến thức trên LinkedIn, tham gia workshop chuyên ngành, vẽ tranh, chụp ảnh sản phẩm","thiết kế trải nghiệm sự kiện, xây dựng hệ thống hỗ trợ ra quyết định, vẽ quy trình BPMN, giao tiếp hiệu quả, quản trị nông nghiệp và bền vững"
SV0061,"viết nhật ký phát triển bản thân, tìm hiểu AI, chia sẻ kiến thức trên LinkedIn, làm đồ handmade, nấu ăn healthy","viết truy vấn SQL, vẽ quy trình BPMN, kiến trúc đô thị thông minh, xử lý dữ liệu với Pandas, lập trình Python"
SV0062,"thiết kế CV cá nhân đẹp, thử dựng infographic, vẽ tranh tay, chia sẻ kiến thức trên LinkedIn, xem phim sci-fi","xây dựng hệ thống hỗ trợ ra quyết định, quản lý đơn hàng, xây dựng hệ thống an toàn thông tin doanh nghiệp, thiết kế trải nghiệm sự kiện, tạo báo cáo với Power BI"
SV0063,"thử các quán cà phê mới, xem phim sci-fi, xem phân tích case startup, tập gym, tìm hiểu AI","xây dựng mô hình ML cơ bản, hiểu cấu trúc dữ liệu & giải thuật, thiết kế trải nghiệm sự kiện, tích hợp tài chính công nghệ (FinTech), phân tích hành vi người dùng"
SV0064,"quay Tiktok chia sẻ kiến thức, xem phân tích case startup, follow fashion tech trends, thể thao, đọc sách self-help","phân tích hành vi người dùng, lập kế hoạch thuế và khai thuế, quản trị nhân lực hiện đại, tự động hóa quy trình bằng điều khiển thông minh, phân tích rủi ro tài chính"
SV0065,"xem phim sci-fi, vẽ digital art, xem vlog du học ngành IT, thiết kế CV cá nhân đẹp, chụp ảnh sản phẩm","phân tích hành vi người dùng, trình bày báo cáo, phân tích hình ảnh và video trong truyền thông số, kiểm thử bảo mật, giao tiếp hiệu quả"
SV0066,"thể thao, follow các dev trên YouTube, vẽ tranh tay, chạy bộ Strava, tập gym","quản lý đổi mới sáng tạo trong doanh nghiệp, phát hiện lỗ hổng OWASP, quản trị nông nghiệp và bền vững, vẽ quy trình BPMN, phân tích luật kinh tế và kinh doanh quốc tế"
SV0067,"thử dựng infographic, tập gym, chơi nhạc cụ, lập kế hoạch học tập, sưu tầm đồ công nghệ","phân tích dữ liệu định lượng, phân tích hình ảnh và video trong truyền thông số, kế toán tài chính doanh nghiệp, làm việc với Git, lập trình Python"
SV0068,"lập kế hoạch học tập, tập gym, vẽ giao diện app, chia sẻ kiến thức trên LinkedIn, cắm trại","giao dịch chứng khoán, phát hiện lỗ hổng OWASP, quản lý đổi mới sáng tạo trong doanh nghiệp, phân tích log hệ thống, trình bày báo cáo"
SV0069,"tìm hiểu AI, nấu ăn, đọc sách, sưu tầm đồ công nghệ, nấu ăn healthy","xây dựng hệ thống hỗ trợ ra quyết định, hiểu cấu trúc dữ liệu & giải thuật, viết truy vấn SQL, thiết kế trải nghiệm sự kiện, kiểm thử bảo mật"
SV0070,"vẽ giao diện app, sưu tầm đồ công nghệ, tự học SQL, nghe nhạc indie, luyện kỹ năng phản biện","tạo dashboard KPI, phân tích rủi ro tài chính, phân tích hành vi du lịch và giải trí, viết nội dung marketing, xây dựng mô hình ML cơ bản"
SV0071,"luyện kỹ năng phản biện, chạy thử chatbot, follow các dev trên YouTube, viết nhật ký phát triển bản thân, chơi Rubik","viết tài liệu SRS, xây dựng mô hình học máy nâng cao, vẽ biểu đồ với Matplotlib, thiết kế trải nghiệm sự kiện, phân tích dữ liệu cho kinh doanh"
SV0072,"xem video phân tích dữ liệu, thể thao, viết nhật ký phát triển bản thân, chơi game mô phỏng (SimCity, Factorio...), chia sẻ kiến thức trên LinkedIn","giao dịch chứng khoán, tích hợp tài chính công nghệ (FinTech), ứng dụng hệ thống CRM, ứng dụng trí tuệ nhân tạo trong kinh doanh, hiểu cấu trúc dữ liệu & giải thuật"
SV0073,"âm nhạc, học kỹ năng nói trước đám đông, viết truyện ngắn, xem vlog du học ngành IT, vọc Python","tạo báo cáo với Power BI, xây dựng hệ thống an toàn thông tin doanh nghiệp, xử lý dữ liệu với Pandas, phân tích hành vi du lịch và giải trí, thiết kế trải nghiệm sự kiện"
SV0074,"thiết kế CV cá nhân đẹp, làm đồ handmade, luyện kỹ năng phản biện, xem video TEDx, nấu ăn","tạo báo cáo với Power BI, ứng dụng hệ thống CRM, tích hợp tài chính công nghệ (FinTech), vẽ quy trình BPMN, xây dựng hệ thống an toàn thông tin doanh nghiệp"
SV0075,"chơi game giải đố, theo dõi các trang TechCrunch, Hacker News, nấu ăn, nấu ăn healthy, xem vlog du học ngành IT","thiết kế UI/UX cho website, thiết kế truyền thông đa phương tiện, viết truy vấn SQL, quản lý dự án sáng tạo, vẽ biểu đồ với Matplotlib"
SV0076,"đọc sách self-help, viết nhật ký phát triển bản thân, tự học SQL, chơi nhạc cụ, vẽ giao diện app","viết truy vấn SQL, phân tích nghiệp vụ, quản lý dự án sáng tạo, thiết kế trải nghiệm sự kiện, phân tích log hệ thống"
SV0077,"follow fashion tech trends, xem phim, cắm trại, xem livestream hackathon, học kỹ năng nói trước đám đông","vận hành hệ thống thương mại điện tử, xử lý dữ liệu với Pandas, quản trị nhân lực hiện đại, hiểu mô hình ERP, lập kế hoạch thuế và khai thuế"
SV0078,"xây web cá nhân, vọc Python, làm portfolio online, nghe nhạc indie, vẽ digital art","phân tích nghiệp vụ, kế toán tài chính doanh nghiệp, tạo báo cáo với Power BI, trình bày báo cáo, quản trị nông nghiệp và bền vững"
SV0079,"đọc sách self-help, lập kế hoạch học tập, follow fashion tech trends, làm đồ handmade, luyện kỹ năng phản biện","xây dựng hệ thống an toàn thông tin doanh nghiệp, xây dựng mô hình ML cơ bản, tạo báo cáo với Power BI, giao tiếp hiệu quả, phân tích nghiệp vụ"
SV0080,"follow các dev trên YouTube, làm portfolio online, nấu ăn healthy, xem video TEDx, viết truyện ngắn","kiểm thử bảo mật, xây dựng hệ thống hỗ trợ ra quyết định, lập kế hoạch thuế và khai thuế, kiến trúc đô thị thông minh, phát hiện lỗ hổng OWASP"
SV0081,"thể thao, theo dõi các trang TechCrunch, Hacker News, xem video TEDx, thử các quán cà phê mới, viết blog cá nhân","viết báo cáo, quản trị hệ thống Linux, lập trình Java, hiểu cấu trúc dữ liệu & giải thuật, triển khai ứng dụng web"
SV0082,"vẽ tranh tay, thử các quán cà phê mới, tự học SQL, chơi nhạc cụ, chơi game mô phỏng (SimCity, Factorio...)","viết báo cáo, xây dựng hệ thống hỗ trợ ra quyết định, hiểu cấu trúc dữ liệu & giải thuật, tích hợp tài chính công nghệ (FinTech), chạy quảng cáo cơ bản"
SV0083,"follow các dev trên YouTube, đọc sách, chụp ảnh sản phẩm, thiền và yoga, follow fashion tech trends","hiểu cấu trúc dữ liệu & giải thuật, mã hóa dữ liệu cơ bản, quản lý thời gian, phân tích hình ảnh và video trong truyền thông số, giao tiếp hiệu quả"
SV0084,"chơi game giải đố, thiết kế CV cá nhân đẹp, luyện kỹ năng phản biện, học kỹ năng nói trước đám đông, làm portfolio online","làm việc nhóm, phân tích rủi ro tài chính, xây dựng mô hình học máy nâng cao, phân tích hình ảnh và video trong truyền thông số, thiết kế truyền thông đa phương tiện"
SV0085,"nấu ăn, viết nhật ký phát triển bản thân, chơi Rubik, du lịch, xem livestream hackathon","lập kế hoạch thuế và khai thuế, vẽ quy trình BPMN, xây dựng hệ thống an toàn thông tin doanh nghiệp, thiết kế UI/UX cho website, tạo báo cáo với Power BI"
SV0086,"viết truyện ngắn, lập kế hoạch học tập, vọc Python, đọc sách self-help, xem phim sci-fi","vẽ biểu đồ với Matplotlib, kế toán tài chính doanh nghiệp, vẽ quy trình BPMN, phân tích dữ liệu định lượng, viết tài liệu SRS"
SV0087,"xem vlog du học ngành IT, viết blog công nghệ, vẽ giao diện app, viết content cho mạng xã hội, lập kế hoạch học tập","quản trị nhân lực hiện đại, thực hành CTF cơ bản, triển khai ứng dụng web, viết nội dung marketing, trình bày báo cáo"
SV0088,"trồng cây mini trong phòng, đọc sách, chụp ảnh sản phẩm, quay Tiktok chia sẻ kiến thức, thử các quán cà phê mới","tự động hóa quy trình bằng điều khiển thông minh, xây dựng hệ thống hỗ trợ ra quyết định, phân tích nghiệp vụ, mã hóa dữ liệu cơ bản, trình bày báo cáo"
SV0089,"tập gym, vẽ digital art, cắm trại, viết content cho mạng xã hội, đọc sách","quản lý quỹ đầu tư, kiến trúc đô thị thông minh, làm việc nhóm, lập kế hoạch thuế và khai thuế, phân tích nghiệp vụ"
SV0090,"nấu ăn healthy, sưu tầm đồ công nghệ, lập kế hoạch học tập, xem phim, vẽ tranh","tư duy phản biện, hiểu mô hình ERP, phát hiện lỗ hổng OWASP, kiến trúc đô thị thông minh, quản lý đơn hàng"
SV0091,"tham gia workshop chuyên ngành, thiết kế CV cá nhân đẹp, viết nhật ký phát triển bản thân, viết truyện ngắn, chia sẻ kiến thức trên LinkedIn","tích hợp tài chính công nghệ (FinTech), phân tích dữ liệu định lượng, tạo báo cáo với Power BI, xử lý dữ liệu với Pandas, phân tích hành vi du lịch và giải trí"
SV0092,"nghe podcast UX/UI, học ngoại ngữ mới, quay Tiktok chia sẻ kiến thức, follow fashion tech trends, vẽ tranh","hiểu cấu trúc dữ liệu & giải thuật, triển khai ứng dụng web, viết báo cáo, quản lý đổi mới sáng tạo trong doanh nghiệp, thiết kế truyền thông đa phương tiện"
SV0093,"xem video TEDx, chơi game mô phỏng (SimCity, Factorio...), follow fashion tech trends, thiết kế poster, viết báo cáo kỹ thuật","tạo báo cáo với Power BI, kiến trúc đô thị thông minh, thiết kế trải nghiệm sự kiện, phân tích log hệ thống, giao tiếp hiệu quả"
SV0094,"nghe lo-fi khi code, đọc sách self-help, vẽ digital art, chụp ảnh sản phẩm, học kỹ năng nói trước đám đông","lập kế hoạch thuế và khai thuế, hiểu mô hình ERP, phát hiện lỗ hổng OWASP, tạo dashboard KPI, kiểm toán nội bộ và bên ngoài"
SV0095,"tham gia workshop chuyên ngành, học ngoại ngữ mới, làm video dạng slide ngắn, đọc sách, vọc Python","lập trình Python, lập trình Java, xây dựng mô hình học máy nâng cao, làm việc nhóm, giao tiếp hiệu quả"
SV0096,"follow fashion tech trends, nghe podcast UX/UI, viết blog cá nhân, viết content cho mạng xã hội, nấu ăn healthy","quản lý quỹ đầu tư, thực hành CTF cơ bản, viết truy vấn SQL, giao tiếp hiệu quả, xây dựng hệ thống hỗ trợ ra quyết định"
SV0097,"xem vlog du học ngành IT, viết nhật ký phát triển bản thân, xem phim, tìm hiểu Blockchain, thiết kế poster","phân tích dữ liệu định lượng, kiểm thử bảo mật, quản lý thời gian, vận hành hệ thống thương mại điện tử, xây dựng mô hình học máy nâng cao"
SV0098,"lập kế hoạch học tập, vẽ giao diện app, nấu ăn healthy, chơi game, nghe nhạc indie","viết truy vấn SQL, mã hóa dữ liệu cơ bản, hiểu cấu trúc dữ liệu & giải thuật, thực hành CTF cơ bản, chạy quảng cáo cơ bản"
SV0099,"tập gym, vẽ digital art, chạy bộ Strava, vọc Python, xem livestream hackathon","quản trị nông nghiệp và bền vững, quản trị nhân lực hiện đại, làm việc nhóm, xây dựng hệ thống an toàn thông tin doanh nghiệp, giao dịch chứng khoán"
